EPBC_list,scientific_name,common_name,conservation_status,date_effective
fauna,Rheobatrachus silus,Southern Gastric-brooding Frog,Extinct,16-Jul-00
fauna,Rheobatrachus vitellinus,"Northern Gastric-brooding Frog, Eungella Gastric-brooding Frog",Extinct,16-Jul-00
fauna,Taudactylus acutirostris,"Sharp-snouted Day Frog, Sharp-snouted Torrent Frog",Extinct,16-Jul-00
fauna,Taudactylus diurnus,"Southern Day Frog, Mt Glorious Torrent Frog",Extinct,16-Jul-00
fauna,Aplonis fusca,Tasman Starling,Extinct,16-Jul-00
fauna,Columba vitiensis godmanae,"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",Extinct,16-Jul-00
fauna,Cyanoramphus novaezelandiae erythrotis,"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",Extinct,16-Jul-00
fauna,Cyanoramphus novaezelandiae subflavescens,"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",Extinct,16-Jul-00
fauna,Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",Extinct,16-Jul-00
fauna,Dromaius ater,King Island Emu,Extinct,16-Jul-00
fauna,Dromaius baudinianus,Kangaroo Island Emu,Extinct,16-Jul-00
fauna,Dromaius novaehollandiae diemenensis,"Tasmanian Emu, Emu (Tasmanian)",Extinct,16-Jul-00
fauna,Gerygone insularis,"Lord Howe Gerygone, Lord Howe Warbler",Extinct,16-Jul-00
fauna,Hemiphaga novaeseelandiae spadicea,"New Zealand Pigeon (Norfolk Island race), Norfolk Island New Zealand Pigeon",Extinct,16-Jul-00
fauna,Hypotaenidia philippensis macquariensis,"Macquarie Island Buff-banded Rail, Buff-banded Rail (Macquarie Island)",Extinct,16-Jul-00
fauna,Lalage leucopyga leucopyga,Norfolk Island Long-tailed Triller,Extinct,16-Jul-00
fauna,Lewinia pectoralis clelandi,"Western Australian Lewin's Rail, Lewin's Rail (western)",Extinct,16-Jul-00
fauna,Nestor productus,Norfolk Island Kaka,Extinct,16-Jul-00
fauna,Ninox novaeseelandiae albaria,"Lord Howe Southern Boobook, Lord Howe Boobook Owl",Extinct,16-Jul-00
fauna,Porphyrio albus,White Gallinule,Extinct,16-Jul-00
fauna,Psephotus pulcherrimus,Paradise Parrot,Extinct,16-Jul-00
fauna,Rhipidura fuliginosa cervina,"Lord Howe Grey Fantail, Grey Fantail (Lord Howe Island)",Extinct,16-Jul-00
fauna,Turdus poliocephalus poliocephalus,"Grey-headed Blackbird, Norfolk Island Thrush",Extinct,16-Jul-00
fauna,Turdus poliocephalus vinitinctus,"Lord Howe Thrush, Vinous-tinted Thrush",Extinct,16-Jul-00
fauna,Zosterops albogularis,"White-chested White-eye, Norfolk Island Silvereye",Extinct,16-Jul-00
fauna,Zosterops strenuus,Robust White-eye,Extinct,16-Jul-00
fauna,Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",Extinct,16-Jul-00
fauna,Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",Extinct,16-Jul-00
fauna,Bettongia penicillata penicillata,"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",Extinct,16-Jul-00
fauna,Caloprymnus campestris,Desert Rat-kangaroo,Extinct,16-Jul-00
fauna,Chaeropus ecaudatus,"Pig-footed Bandicoot, Kanjilpa, Wilalya",Extinct,16-Jul-00
fauna,Chaeropus yirratji,"Yirratji, Northern Pig-footed Bandicoot",Extinct,16-Jul-00
fauna,Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",Extinct,16-Jul-00
fauna,Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby",Extinct,16-Jul-00
fauna,Lagorchestes hirsutus hirsutus,"Rufous Hare-wallaby (south-western), Woorap",Extinct,16-Jul-00
fauna,Lagorchestes leporides,Eastern Hare-wallaby,Extinct,16-Jul-00
fauna,Lagostrophus fasciatus albipilis,Banded Hare-wallaby (mainland),Extinct,16-Jul-00
fauna,Leporillus apicalis,"Lesser Stick-nest Rat,Tjooyalpi, White-tailed Stick-nest Rat",Extinct,16-Jul-00
fauna,Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",Extinct,16-Jul-00
fauna,Melomys rubicola,Bramble Cay Melomys,Extinct,22-Feb-19
fauna,Notamacropus greyi,Toolache Wallaby,Extinct,16-Jul-00
fauna,Notomys amplus,"Short-tailed Hopping-mouse, Yoontoo",Extinct,16-Jul-00
fauna,Notomys longicaudatus,"Long-tailed Hopping-mouse, Koolawa, Talamba",Extinct,16-Jul-00
fauna,Notomys macrotis,"Large-eared Hopping-mouse, Noompa, Big -eared Hopping-mouse",Extinct,16-Jul-00
fauna,Notomys mordax,"Darling Downs Hopping-mouse, Payi",Extinct,16-Jul-00
fauna,Nyctophilus howensis,"Lord Howe Long-eared Bat, Lord Howe Island Bat",Extinct,4-Apr-01
fauna,Onychogalea lunata,"Crescent Nailtail Wallaby, Tjawalpa, Wurrung",Extinct,16-Jul-00
fauna,Perameles bougainville fasciata,"Western Barred Bandicoot (eastern), Liverpool Plains Striped Bandicoot",Extinct,16-Jul-00
fauna,Perameles eremiana,"Desert Bandicoot, Walilya",Extinct,16-Jul-00
fauna,Potorous platyops,"Broad-faced Potoroo, Moda",Extinct,16-Jul-00
fauna,Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,16-Jul-00
fauna,Rattus macleari,"Maclear's Rat, Christmas Island Rat",Extinct,16-Jul-00
fauna,Rattus nativitatis,"Bulldog Rat, Christmas Island Burrowing Rat",Extinct,16-Jul-00
fauna,Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger",Extinct,16-Jul-00
fauna,Hypolimnus pedderensis,Lake Pedder Earthworm,Extinct,30-Jun-09
fauna,Galaxias pedderensis,Pedder Galaxias,Extinct in the wild,6-Jun-05
fauna,Bidyanus bidyanus,"Silver Perch, Bidyan",Critically Endangered,21-Dec-13
fauna,Brachionichthys hirsutus,Spotted Handfish,Critically Endangered,11-Oct-12
fauna,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population),Critically Endangered,16-Oct-01
fauna,Galaxias rostratus,"Flathead Galaxias, Beaked Minnow, Flat-headed Galaxias, Flat-headed Jollytail, Flat-headed Minnow",Critically Endangered,5-May-16
fauna,Glyphis glyphis,Speartooth Shark,Critically Endangered,16-Oct-01
fauna,Stiphodon semoni,Opal Cling Goby,Critically Endangered,16-Feb-11
fauna,Thymichthys politus,Red Handfish,Critically Endangered,11-Oct-12
fauna,Cophixalus concinnus,Elegant Frog,Critically Endangered,4-Jul-19
fauna,Cophixalus hosmeri,"Hosmer's Frog, Rattling Nursery-frog",Critically Endangered,4-Jul-19
fauna,Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot Nursery-frog",Critically Endangered,4-Jul-19
fauna,Cophixalus monticola,Mountain-top Nursery-frog,Critically Endangered,4-Jul-19
fauna,Cophixalus neglectus,"Neglected Frog, Bellenden Ker Nursery-frog",Critically Endangered,4-Jul-19
fauna,Geocrinia alba,"White-bellied Frog, Creek Frog",Critically Endangered,4-Jul-19
fauna,Litoria castanea,"Yellow-spotted Tree Frog, Yellow-spotted Bell Frog",Critically Endangered,4-Jul-19
fauna,Litoria kroombitensis,Kroombit Treefrog,Critically Endangered,4-Jul-19
fauna,Litoria lorica,Armoured Mistfrog,Critically Endangered,1-Feb-07
fauna,Litoria myola,Kuranda Tree Frog,Critically Endangered,4-Jul-19
fauna,Litoria nyakalensis,"Mountain Mistfrog, Nyakala Frog",Critically Endangered,1-Feb-07
fauna,Philoria frosti,Baw Baw Frog,Critically Endangered,4-Jul-19
fauna,Pseudophryne corroboree,Southern Corroboree Frog,Critically Endangered,6-Apr-13
fauna,Pseudophryne pengilleyi,Northern Corroboree Frog,Critically Endangered,6-Apr-13
fauna,Taudactylus pleione,"Kroombit Tinker Frog, Pleione's Torrent Frog",Critically Endangered,18-Jan-12
fauna,Aipysurus apraefrontalis,Short-nosed Seasnake,Critically Endangered,15-Feb-11
fauna,Aipysurus foliosquama,Leaf-scaled Seasnake,Critically Endangered,15-Feb-11
fauna,Cryptoblepharus egeriae,"Christmas Island Blue-tailed Skink, Blue-tailed Snake-eyed Skink",Critically Endangered,3-Jan-14
fauna,Elseya albagula,"Southern Snapping Turtle, White-throated Snapping Turtle",Critically Endangered,7-Nov-14
fauna,Emoia nativitatis,"Christmas Island Forest Skink, Christmas Island Whiptail-skink",Critically Endangered,3-Jan-14
fauna,Lepidodactylus listeri,"Christmas Island Gecko, Lister's Gecko",Critically Endangered,3-Jan-14
fauna,Nangura spinosa,Nangur Spiny Skink,Critically Endangered,18-Dec-07
fauna,Phyllurus gulbaru,Gulbaru Gecko,Critically Endangered,17-Nov-15
fauna,Pseudemydura umbrina,Western Swamp Tortoise,Critically Endangered,6-Jul-04
